gameid	url	league	split	date	week	game	patchno	playerid	side	position	player	team	champion	ban1	ban2	ban3	ban4	ban5	gamelength	result	k	d	a	teamkills	teamdeaths	doubles	triples	quadras	pentas	fb	fbassist	fbvictim	fbtime	kpm	okpm	ckpm	fd	fdtime	teamdragkills	oppdragkills	elementals	oppelementals	firedrakes	waterdrakes	earthdrakes	airdrakes	elders	oppelders	herald	heraldtime	ft	fttime	firstmidouter	firsttothreetowers	teamtowerkills	opptowerkills	fbaron	fbarontime	teambaronkills	oppbaronkills	dmgtochamps	dmgtochampsperminute	dmgshare	earnedgoldshare	wards	wpm	wardshare	wardkills	wcpm	visionwards	visionwardbuys	visiblewardclearrate	invisiblewardclearrate	totalgold	earnedgpm	goldspent	gspd	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	oppgoldat10	gdat10	goldat15	oppgoldat15	gdat15	xpat10	oppxpat10	xpdat10	csat10	oppcsat10	csdat10	csat15	oppcsat15	csdat15
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	3	Blue	Middle	Envy	INTZ e-Sports	Lissandra	Xin Zhao	Morgana	Camille	Braum	Urgot	40.1	1	3	1	9	18	6	0	0	0	0	0	0	0	2.053566667	0.074812968	0.024937656	0.598503741	0	9.4649	5	0	0	0	0	0	0	0	0	0	1		1	13.38916667	1	1	11	2	1	21.11463333	2	1	14954	372.9177057	0.25648326	0.215248728	24	0.598503741	0.172661871	14	0.349127182	10	10	 	 	16852	290.9765586	14300	0.021201413	353	18	16	2	9.251870324	3742	3583	159	5893	5616	277	4723	4620	103	93	95	-2	159	159	0
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	4	Blue	ADC	Mills	INTZ e-Sports	Cassiopeia	Xin Zhao	Morgana	Camille	Braum	Urgot	40.1	1	3	1	9	18	6	0	0	0	0	0	1	0	2.053566667	0.074812968	0.074812968	0.598503741	0	9.4649	5	0	1	0	1	0	0	0	0	0	1		1	13.38916667	1	1	11	2	1	21.11463333	2	1	15261	380.5735661	0.261748765	0.216521608	17	0.42394015	0.122302158	8	0.199501247	6	6	 	 	16921	292.6972569	15250	-0.064290928	314	52	32	4	9.127182045	3282	3197	85	5627	5221	406	3250	3222	28	81	81	0	127	128	-1
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	5	Blue	Support	RedBert	INTZ e-Sports	Tahm Kench	Xin Zhao	Morgana	Camille	Braum	Urgot	40.1	1	3	1	8	18	6	0	0	0	0	0	1	0	2.053566667	0.074812968	0	0.598503741	0	9.4649	5	0	0	0	0	0	0	0	0	0	1		1	13.38916667	1	1	11	2	1	21.11463333	2	1	6779	169.0523691	0.116269896	0.194642837	58	1.44638404	0.417266187	17	0.42394015	17	17	 	 	15735	263.121197	11125	0.43502052	109	4	0	0	2.817955112	2721	1782	939	4547	2853	1694	2865	2603	262	15	2	13	30	4	26
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	6	Red	Top	Nyu	Redemption eSports	Rumble	Aatrox	Karthus	Lucian	Akali	Ryze	40.1	0	1	1	4	6	18	0	0	0	0	0	0	0	2.053566667	0.024937656	0.074812968	0.598503741	0	9.4649	0	5	0	0	0	0	0	0	0	0	0		0	13.38916667	0	0	2	11	0	21.11463333	1	2	21679	540.6234414	0.237977101	0.244140257	18	0.448877805	0.107784431	6	0.149625935	5	5	 	 	14362	228.8817955	14425	0.04428698	295	12	12	0	7.655860349	3225	3168	57	4465	5521	-1056	4765	4585	180	78	81	-3	111	141	-30
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	7	Red	Jungle	Zuao	Redemption eSports	Olaf	Aatrox	Karthus	Lucian	Akali	Ryze	40.1	0	1	4	4	6	18	0	0	0	0	0	0	0	2.053566667	0.024937656	0.149625935	0.598503741	0	9.4649	0	5	0	3	0	0	0	0	0	1	0		0	13.38916667	0	0	2	11	0	21.11463333	1	2	9719	242.3690773	0.106688475	0.151039799	33	0.822942643	0.19760479	15	0.374064838	12	14	 	 	10862	141.6	10300	-0.30626927	30	146	120	4	4.389027431	3038	3849	-811	4406	6132	-1726	2644	3612	-968	48	54	-6	77	86	-9
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	8	Red	Middle	Krastyel	Redemption eSports	Syndra	Aatrox	Karthus	Lucian	Akali	Ryze	40.1	0	1	5	2	6	18	0	0	0	0	0	0	0	2.053566667	0.024937656	0.074812968	0.598503741	0	9.4649	0	5	0	0	0	0	0	0	0	0	0		0	13.38916667	0	0	2	11	0	21.11463333	1	2	18812	469.127182	0.206505154	0.233340604	28	0.698254364	0.167664671	7	0.174563591	15	16	 	 	13956	218.7571072	14000	-0.021201413	304	32	23	4	8.379052369	3583	3742	-159	5616	5893	-277	4620	4723	-103	95	93	2	159	159	0
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	9	Red	ADC	DudsTheBoy	Redemption eSports	Ezreal	Aatrox	Karthus	Lucian	Akali	Ryze	40.1	0	3	2	2	6	18	1	0	0	0	0	0	0	2.053566667	0.074812968	0.074812968	0.598503741	0	9.4649	0	5	0	1	0	0	0	0	0	0	0		0	13.38916667	0	0	2	11	0	21.11463333	1	2	34596	862.7431421	0.379771013	0.306171762	24	0.598503741	0.143712575	12	0.29925187	13	16	 	 	16694	287.036409	16263	0.064290928	336	28	18	8	9.077306733	3197	3282	-85	5221	5627	-406	3222	3250	-28	81	81	0	128	127	1
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	10	Red	Support	Ceos	Redemption eSports	Jarvan IV	Aatrox	Karthus	Lucian	Akali	Ryze	40.1	0	0	6	3	6	18	0	0	0	0	0	0	1	2.053566667	0	0.074812968	0.598503741	0	9.4649	0	5	0	0	0	0	0	0	0	0	0		0	13.38916667	0	0	2	11	0	21.11463333	1	2	6291	156.882793	0.069058257	0.065307577	64	1.596009975	0.383233533	10	0.249376559	25	28	 	 	7639	61.22593516	7150	-0.43502052	13	0	0	0	0.324189526	1782	2721	-939	2853	4547	-1694	2603	2865	-262	2	15	-13	4	30	-26
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	100	Blue	Team	Team	INTZ e-Sports	 	Xin Zhao	Morgana	Camille	Braum	Urgot	40.1	1	18	6	42	18	6	 	 	 	 	1	1	0	2.053566667	0.448877805	0.149625935	0.598503741	1	9.4649	5	0	4	0	1	0	2	1	1	0	1	13.00881667	1	13.38916667	1	1	11	2	1	21.11463333	2	1	58304	1453.965087	 	 	139	3.466334165	1	74	1.845386534	59	60	0.576470588	0.21875	80127	1351.815461	68500	0.097398919	1126	220	132	11	33.56608479	16762	14825	1937	27720	22561	5159	19035	17854	1181	324	304	20	543	479	64
1063058	https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1063058?gameHash=3b769abf5ecffc4b&tab=overview	CBLoL	2019-1	2019-02-09	5	1	9.02	200	Red	Team	Team	Redemption eSports	 	Aatrox	Karthus	Lucian	Akali	Ryze	40.1	0	6	18	15	6	18	 	 	 	 	0	0	1	2.053566667	0.149625935	0.448877805	0.598503741	0	9.4649	0	5	0	4	0	0	0	0	0	1	0	13.00881667	0	13.38916667	0	0	2	11	0	21.11463333	1	2	91097	2271.745636	 	 	167	4.164588529	1	50	1.246882793	70	79	0.476923077	0.256756757	63513	937.5012469	62138	-0.097398919	978	218	173	16	29.82543641	14825	16762	-1937	22561	27720	-5159	17854	19035	-1181	304	324	-20	479	543	-64
