Date	Time	matchup	record	team1	team2	B's	league
15 Jul 2017 - Summer Season	4:00:00 PM	Roccat - Mysterious Monkeys	1:02:00 AM	1.43	2.74	8	EULCS
15 Jul 2017 - Summer Season	1:17:00 AM	Immortals - Echo Fox	2:00:00 AM	1.34	3.15	12	NALCS
14 Jul 2017 - Summer Season	11:00:00 PM	Counter Logic Gaming - FlyQuest eSports	2:00:00 AM	1.26	3.66	12	NALCS
14 Jul 2017 - Summer Season	6:00:00 PM	Misfits - Unicorns of Love	1:02:00 AM	2.6	1.48	8	EULCS
14 Jul 2017 - Summer Season	4:00:00 PM	Splyce - G2 Esports	12:02:00 AM	2.71	1.45	8	EULCS
13 Jul 2017 - Summer Season	7:00:00 PM	Roccat - H2k-Gaming	12:02:00 AM	3.58	1.28	8	EULCS
13 Jul 2017 - Summer Season	4:00:00 PM	Ninjas in Pyjamas - Vitality	1:02:00 AM	2.92	1.39	8	EULCS
02 Jul 2017 - Summer Season	11:00:00 PM	Team EnVyUs - Team Dignitas	2:01:00 AM	2.21	1.63	12	NALCS
02 Jul 2017 - Summer Season	11:00:00 PM	Team Liquid - Counter Logic Gaming	12:02:00 AM	3.62	1.27	12	NALCS
02 Jul 2017 - Summer Season	8:00:00 PM	FlyQuest eSports - Echo Fox	2:01:00 AM	2.15	1.65	12	NALCS
02 Jul 2017 - Summer Season	8:00:00 PM	Phoenix1 - Immortals	2:01:00 AM	3.72	1.26	12	NALCS
01 Jul 2017 - Summer Season	11:00:00 PM	Echo Fox - Team Liquid	2:01:00 AM	1.64	2.19	12	NALCS
01 Jul 2017 - Summer Season	11:00:00 PM	Team Dignitas - FlyQuest eSports	1:02:00 AM	1.32	3.24	12	NALCS
01 Jul 2017 - Summer Season	8:00:00 PM	Counter Logic Gaming - Cloud9	2:01:00 AM	2.2	1.64	12	NALCS
01 Jul 2017 - Summer Season	8:00:00 PM	Team Solomid - Immortals	2:00:00 AM	1.75	2.01	12	NALCS
01 Jul 2017 - Summer Season	6:15:00 PM	Ninjas in Pyjamas - Unicorns of Love	1:02:00 AM	8.11	1.07	7	EULCS
01 Jul 2017 - Summer Season	4:00:00 PM	Mysterious Monkeys - G2 Esports	12:02:00 AM	6.79	1.09	8	EULCS
01 Jul 2017 - Summer Season	2:00:00 AM	Phoenix1 - Team EnVyUs	2:01:00 AM	2.53	1.48	13	NALCS
30 Jun 2017 - Summer Season	11:00:00 PM	Cloud9 - Team Solomid	2:01:00 AM	2.51	1.5	13	NALCS
30 Jun 2017 - Summer Season	7:00:00 PM	Misfits - H2k-Gaming	12:02:00 AM	2.26	1.63	9	EULCS
30 Jun 2017 - Summer Season	4:00:00 PM	Roccat - Vitality	12:02:00 AM	1.36	3.04	9	EULCS
29 Jun 2017 - Summer Season	7:00:00 PM	Fnatic - Splyce	2:00:00 AM	1.37	3.2	9	EULCS
29 Jun 2017 - Summer Season	4:00:00 PM	Ninjas in Pyjamas - Mysterious Monkeys	12:02:00 AM	1.98	1.77	9	EULCS
25 Jun 2017 - Summer Season	11:00:00 PM	Cloud9 - Team Dignitas	2:01:00 AM	1.48	2.6	13	NALCS
25 Jun 2017 - Summer Season	11:00:00 PM	FlyQuest eSports - Team EnVyUs	1:02:00 AM	2.4	1.54	13	NALCS
25 Jun 2017 - Summer Season	8:10:00 PM	Team Liquid - Phoenix1	2:01:00 AM	2.72	1.44	13	NALCS
25 Jun 2017 - Summer Season	8:10:00 PM	Team Solomid - Echo Fox	2:00:00 AM	1.27	3.65	13	NALCS
24 Jun 2017 - Summer Season	11:00:00 PM	Cloud9 - Team Liquid	2:00:00 AM	1.18	4.3	12	NALCS
24 Jun 2017 - Summer Season	11:00:00 PM	Immortals - Team Dignitas	2:01:00 AM	1.44	2.69	12	NALCS
24 Jun 2017 - Summer Season	8:00:00 PM	Counter Logic Gaming - Team EnVyUs	2:01:00 AM	1.39	2.92	13	NALCS
24 Jun 2017 - Summer Season	8:00:00 PM	Team Solomid - FlyQuest eSports	2:00:00 AM	1.24	3.9	13	NALCS
24 Jun 2017 - Summer Season	7:00:00 PM	Fnatic - Mysterious Monkeys	2:00:00 AM	1.1	6.7	8	EULCS
24 Jun 2017 - Summer Season	4:00:00 PM	Ninjas in Pyjamas - H2k-Gaming	12:02:00 AM	7.72	1.07	8	EULCS
24 Jun 2017 - Summer Season	2:00:00 AM	Echo Fox - Phoenix1	12:02:00 AM	1.58	2.37	13	NALCS
23 Jun 2017 - Summer Season	11:00:00 PM	Immortals - Counter Logic Gaming	2:00:00 AM	1.82	1.94	13	NALCS
23 Jun 2017 - Summer Season	7:00:00 PM	Unicorns of Love - G2 Esports	2:01:00 AM	2.15	1.68	7	EULCS
23 Jun 2017 - Summer Season	4:00:00 PM	Roccat - Splyce	1:02:00 AM	2.38	1.56	7	EULCS
22 Jun 2017 - Summer Season	7:00:00 PM	Fnatic - H2k-Gaming	2:00:00 AM	1.67	2.13	8	EULCS
22 Jun 2017 - Summer Season	4:00:00 PM	Misfits - Vitality	2:01:00 AM	1.25	3.81	8	EULCS
18 Jun 2017 - Summer Season	11:00:00 PM	FlyQuest eSports - Cloud9	12:02:00 AM	3.6	1.28	13	NALCS
18 Jun 2017 - Summer Season	11:00:00 PM	Team Dignitas - Echo Fox	2:01:00 AM	1.65	2.2	13	NALCS
18 Jun 2017 - Summer Season	8:00:00 PM	Phoenix1 - Counter Logic Gaming	1:02:00 AM	3.34	1.31	13	NALCS
18 Jun 2017 - Summer Season	8:00:00 PM	Team EnVyUs - Team Solomid	12:02:00 AM	2.7	1.45	13	NALCS
17 Jun 2017 - Summer Season	11:00:00 PM	FlyQuest eSports - Counter Logic Gaming	1:02:00 AM	3.08	1.35	12	NALCS
17 Jun 2017 - Summer Season	11:00:00 PM	Phoenix1 - Team Dignitas	1:02:00 AM	2.64	1.46	13	NALCS
17 Jun 2017 - Summer Season	8:00:00 PM	Immortals - Cloud9	2:01:00 AM	2.37	1.56	12	NALCS
17 Jun 2017 - Summer Season	8:00:00 PM	Team Liquid - Team Solomid	12:02:00 AM	5.26	1.14	12	NALCS
17 Jun 2017 - Summer Season	7:00:00 PM	H2k-Gaming - Vitality	2:00:00 AM	1.21	4.54	9	EULCS
17 Jun 2017 - Summer Season	4:00:00 PM	Ninjas in Pyjamas - Roccat	12:02:00 AM	2.58	1.49	9	EULCS
17 Jun 2017 - Summer Season	2:00:00 AM	Team EnVyUs - Echo Fox	12:02:00 AM	1.61	2.23	13	NALCS
16 Jun 2017 - Summer Season	11:00:00 PM	Immortals - Team Liquid	2:00:00 AM	1.34	3.14	13	NALCS
16 Jun 2017 - Summer Season	7:00:00 PM	Splyce - Unicorns of Love	2:01:00 AM	3.51	1.3	9	EULCS
16 Jun 2017 - Summer Season	4:00:00 PM	Misfits - G2 Esports	2:01:00 AM	4.04	1.23	9	EULCS
15 Jun 2017 - Summer Season	7:00:00 PM	Roccat - Fnatic	2:01:00 AM	5.9	1.14	9	EULCS
15 Jun 2017 - Summer Season	4:00:00 PM	Vitality - Mysterious Monkeys	2:00:00 AM	1.48	2.54	9	EULCS
11 Jun 2017 - Summer Season	11:00:00 PM	Counter Logic Gaming - Team Solomid	1:02:00 AM	1.96	1.81	13	NALCS
11 Jun 2017 - Summer Season	11:00:00 PM	Phoenix1 - FlyQuest eSports	12:02:00 AM	1.48	2.59	13	NALCS
11 Jun 2017 - Summer Season	8:00:00 PM	Echo Fox - Cloud9	12:02:00 AM	3.25	1.32	13	NALCS
11 Jun 2017 - Summer Season	8:00:00 PM	Team Dignitas - Team Liquid	1:02:00 AM	1.25	3.8	13	NALCS
11 Jun 2017 - Summer Season	6:00:00 PM	H2k-Gaming - Unicorns of Love	1:02:00 AM	2.11	1.72	8	EULCS
11 Jun 2017 - Summer Season	4:00:00 PM	Splyce - Mysterious Monkeys	2:00:00 AM	1.22	4.3	9	EULCS
10 Jun 2017 - Summer Season	11:00:00 PM	Immortals - FlyQuest eSports	2:01:00 AM	1.36	3.01	13	NALCS
10 Jun 2017 - Summer Season	11:00:00 PM	Team EnVyUs - Team Liquid	2:01:00 AM	1.36	3.05	13	NALCS
10 Jun 2017 - Summer Season	8:00:00 PM	Echo Fox - Counter Logic Gaming	1:02:00 AM	2.41	1.54	13	NALCS
10 Jun 2017 - Summer Season	8:00:00 PM	Team Dignitas - Team Solomid	2:01:00 AM	3.01	1.36	13	NALCS
10 Jun 2017 - Summer Season	7:00:00 PM	Ninjas in Pyjamas - G2 Esports	12:02:00 AM	7.23	1.09	8	EULCS
10 Jun 2017 - Summer Season	4:00:00 PM	Misfits - Roccat	2:01:00 AM	1.61	2.27	9	EULCS
10 Jun 2017 - Summer Season	1:00:00 AM	Immortals - Team EnVyUs	12:02:00 AM	1.31	3.34	13	NALCS
09 Jun 2017 - Summer Season	11:00:00 PM	Phoenix1 - Cloud9	12:02:00 AM	2.78	1.44	13	NALCS
09 Jun 2017 - Summer Season	6:00:00 PM	Mysterious Monkeys - Unicorns of Love	12:02:00 AM	6.76	1.1	9	EULCS
09 Jun 2017 - Summer Season	4:00:00 PM	Splyce - Vitality	2:00:00 AM	1.38	2.98	9	EULCS
08 Jun 2017 - Summer Season	7:00:00 PM	G2 Esports - Fnatic	1:02:00 AM	1.6	2.16	7	EULCS
08 Jun 2017 - Summer Season	4:00:00 PM	Misfits - Ninjas in Pyjamas	2:00:00 AM	1.38	2.94	7	EULCS
04 Jun 2017 - Summer Season	11:00:00 PM	FlyQuest eSports - Team Dignitas	12:02:00 AM	2.41	1.53	13	NALCS
04 Jun 2017 - Summer Season	11:00:00 PM	Team Liquid - Echo Fox	12:02:00 AM	1.71	2.06	13	NALCS
04 Jun 2017 - Summer Season	8:00:00 PM	Immortals - Team Solomid	2:00:00 AM	4.04	1.22	13	NALCS
04 Jun 2017 - Summer Season	8:00:00 PM	Team EnVyUs - Phoenix1	2:01:00 AM	5.06	1.15	13	NALCS
03 Jun 2017 - Summer Season	11:00:00 PM	Team Dignitas - Team EnVyUs	2:01:00 AM	1.24	3.74	11	NALCS
03 Jun 2017 - Summer Season	11:00:00 PM	Team Solomid - Cloud9	2:00:00 AM	1.43	2.69	12	NALCS
03 Jun 2017 - Summer Season	8:00:00 PM	Counter Logic Gaming - Team Liquid	2:00:00 AM	1.28	3.43	12	NALCS
03 Jun 2017 - Summer Season	8:00:00 PM	Echo Fox - FlyQuest eSports	2:00:00 AM	2.79	1.4	12	NALCS
03 Jun 2017 - Summer Season	7:00:00 PM	Ninjas in Pyjamas - Fnatic	12:02:00 AM	4	1.22	5	EULCS
03 Jun 2017 - Summer Season	4:00:00 PM	H2k-Gaming - Mysterious Monkeys	2:00:00 AM	1.14	5.37	9	EULCS
03 Jun 2017 - Summer Season	2:00:00 AM	Immortals - Phoenix1	2:01:00 AM	2.85	1.38	10	NALCS
02 Jun 2017 - Summer Season	11:00:00 PM	Cloud9 - Counter Logic Gaming	1:02:00 AM	1.51	2.45	12	NALCS
02 Jun 2017 - Summer Season	7:00:00 PM	Vitality - Unicorns of Love	12:02:00 AM	3.93	1.24	9	EULCS
02 Jun 2017 - Summer Season	4:00:00 PM	Roccat - G2 Esports	1:02:00 AM	2.25	1.61	9	EULCS
01 Jun 2017 - Summer Season	7:00:00 PM	Misfits - Fnatic	12:02:00 AM	2.59	1.52	8	EULCS
01 Jun 2017 - Summer Season	4:00:00 PM	H2k-Gaming - Splyce	2:00:00 AM	1.46	2.61	8	EULCS
23 Apr 2017 - Spring - Play Offs	8:00:00 PM	Team Solomid - Cloud9	3:02:00 AM	1.76	1.98	12	NALCS
22 Apr 2017 - Spring - Play Offs	8:00:00 PM	FlyQuest eSports - Phoenix1	2:03:00 AM	1.39	2.87	3	NALCS
16 Apr 2017 - Spring - Play Offs	8:00:00 PM	Team Solomid - FlyQuest eSports	3:00:00 AM	1.18	4.54	12	NALCS
16 Apr 2017 - Spring - Play Offs	4:00:00 PM	Unicorns of Love - Misfits	3:01:00 AM	1.51	2.46	12	EULCS
15 Apr 2017 - Spring - Play Offs	8:00:00 PM	Cloud9 - Phoenix1	3:00:00 AM	1.54	2.38	12	NALCS
15 Apr 2017 - Spring - Play Offs	4:00:00 PM	G2 Esports - Fnatic	3:01:00 AM	1.34	3.13	11	EULCS
09 Apr 2017 - Spring - Play Offs	8:00:00 PM	Counter Logic Gaming - FlyQuest eSports	2:03:00 AM	1.55	2.36	12	NALCS
09 Apr 2017 - Spring - Play Offs	4:00:00 PM	H2k-Gaming - Fnatic	12:03:00 AM	1.23	3.84	12	EULCS
08 Apr 2017 - Spring - Play Offs	8:00:00 PM	Phoenix1 - Team Dignitas	3:00:00 AM	1.5	2.48	12	NALCS
08 Apr 2017 - Spring - Play Offs	4:00:00 PM	Misfits - Splyce	3:02:00 AM	1.78	1.96	12	EULCS
02 Apr 2017 - Spring Season	8:00:00 PM	Fnatic - Misfits	2:01:00 AM	2.5	1.51	4	EULCS
02 Apr 2017 - Spring Season	5:00:00 PM	Splyce - H2k-Gaming	12:02:00 AM	2.39	1.58	4	EULCS
01 Apr 2017 - Spring Season	8:00:00 PM	G2 Esports - Roccat	1:02:00 AM	1.12	5.4	2	EULCS
01 Apr 2017 - Spring Season	5:00:00 PM	Vitality - Unicorns of Love	12:02:00 AM	6.15	1.1	2	EULCS
31 Mar 2017 - Spring Season	9:00:00 PM	Giants Gaming - Misfits	12:02:00 AM	5	1.11	3	EULCS
31 Mar 2017 - Spring Season	6:00:00 PM	Origen - H2k-Gaming	12:02:00 AM	8.02	1.04	3	EULCS
30 Mar 2017 - Spring Season	9:00:00 PM	G2 Esports - Fnatic	2:01:00 AM	1.11	5.58	3	EULCS
30 Mar 2017 - Spring Season	6:00:00 PM	Splyce - Unicorns of Love	1:02:00 AM	2.38	1.52	3	EULCS
26 Mar 2017 - Spring Season	11:00:00 PM	Counter Logic Gaming - Team EnVyUs	2:01:00 AM	1.4	2.76	10	NALCS
26 Mar 2017 - Spring Season	11:00:00 PM	FlyQuest eSports - Team Liquid	2:01:00 AM	1.91	1.87	12	NALCS
26 Mar 2017 - Spring Season	8:00:00 PM	Team Dignitas - Immortals	2:00:00 AM	1.87	1.84	11	NALCS
26 Mar 2017 - Spring Season	8:00:00 PM	Team Solomid - Phoenix1	2:00:00 AM	1.53	2.37	12	NALCS
25 Mar 2017 - Spring Season	11:00:00 PM	Echo Fox - Team EnVyUs	2:01:00 AM	1.91	1.81	9	NALCS
25 Mar 2017 - Spring Season	8:00:00 PM	Cloud9 - Phoenix1	2:00:00 AM	1.85	1.89	12	NALCS
25 Mar 2017 - Spring Season	8:00:00 PM	Immortals - Counter Logic Gaming	2:00:00 AM	1.87	1.88	12	NALCS
25 Mar 2017 - Spring Season	8:00:00 PM	Team Liquid - Team Solomid	2:01:00 AM	6.16	1.1	9	NALCS
25 Mar 2017 - Spring Season	7:00:00 PM	Fnatic - Giants Gaming	2:01:00 AM	1.37	2.95	9	EULCS
25 Mar 2017 - Spring Season	4:00:00 PM	Vitality - H2k-Gaming	1:02:00 AM	6.25	1.1	9	EULCS
25 Mar 2017 - Spring Season	2:00:00 AM	FlyQuest eSports - Echo Fox	2:00:00 AM	1.52	2.42	12	NALCS
24 Mar 2017 - Spring Season	11:00:00 PM	Cloud9 - Team Dignitas	2:00:00 AM	1.46	2.59	12	NALCS
24 Mar 2017 - Spring Season	8:00:00 PM	Origen - Unicorns of Love	12:02:00 AM	8.3	1.06	9	EULCS
24 Mar 2017 - Spring Season	5:00:00 PM	Roccat - Misfits	2:00:00 AM	4.41	1.18	9	EULCS
23 Mar 2017 - Spring Season	8:00:00 PM	G2 Esports - Giants Gaming	2:00:00 AM	1.07	7.65	7	EULCS
23 Mar 2017 - Spring Season	5:00:00 PM	Vitality - Splyce	12:02:00 AM	5.2	1.13	8	EULCS
19 Mar 2017 - Spring Season	10:10:00 PM	Team EnVyUs - Cloud9	1:02:00 AM	4.77	1.16	12	NALCS
